task,metric,model,seed,candidate_count,selection_budget,selected_recipe,selected_automl_config,test_score,prediction_file
ames,AUROC,validation_stacking,404,9,0,,,0.8451134739274314,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/validation_stacking_seed_404.csv
ames,AUROC,common_pool_taskwise_selector,404,9,6,validation_stacking,,0.8451134739274314,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/common_pool_taskwise_selector_seed_404.csv
ames,AUROC,common_pool_automl,404,9,6,,5.0,0.8383618241986333,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/common_pool_automl_seed_404.csv
ames,AUROC,global_single,505,9,0,,,0.8456500029372025,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/global_single_seed_505.csv
ames,AUROC,per_task_single,505,9,0,,,0.8552448647907732,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/per_task_single_seed_505.csv
ames,AUROC,validation_top2_average,505,9,0,,,0.8502477040866279,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/validation_top2_average_seed_505.csv
ames,AUROC,validation_top3_average,505,9,0,,,0.8587479684348627,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/validation_top3_average_seed_505.csv
ames,AUROC,uniform_candidate_average,505,9,0,,,0.837474789010946,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/uniform_candidate_average_seed_505.csv
ames,AUROC,validation_stacking,505,9,0,,,0.8424974054710292,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/validation_stacking_seed_505.csv
ames,AUROC,common_pool_taskwise_selector,505,9,6,validation_stacking,,0.8424974054710292,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/common_pool_taskwise_selector_seed_505.csv
ames,AUROC,common_pool_automl,505,9,6,,5.0,0.8308876226282088,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/common_pool_automl_seed_505.csv
bbb_martins,AUROC,global_single,101,9,0,,,0.902439024390244,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/global_single_seed_101.csv
bbb_martins,AUROC,per_task_single,101,9,0,,,0.902439024390244,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/per_task_single_seed_101.csv
bbb_martins,AUROC,validation_top2_average,101,9,0,,,0.9177220137585992,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/validation_top2_average_seed_101.csv
bbb_martins,AUROC,validation_top3_average,101,9,0,,,0.9063086303939965,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/validation_top3_average_seed_101.csv
bbb_martins,AUROC,uniform_candidate_average,101,9,0,,,0.8950515947467167,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/uniform_candidate_average_seed_101.csv
bbb_martins,AUROC,validation_stacking,101,9,0,,,0.8718730456535334,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/validation_stacking_seed_101.csv
bbb_martins,AUROC,common_pool_taskwise_selector,101,9,6,validation_top2_average,,0.9177220137585992,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/common_pool_taskwise_selector_seed_101.csv
bbb_martins,AUROC,common_pool_automl,101,9,6,,5.0,0.8877032520325202,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/common_pool_automl_seed_101.csv
bbb_martins,AUROC,global_single,202,9,0,,,0.9051751094434022,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/global_single_seed_202.csv
bbb_martins,AUROC,per_task_single,202,9,0,,,0.9051751094434022,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/per_task_single_seed_202.csv
