task,metric,reference_model,comparator_model,reference_seeds,comparator_seeds,reference_seed_count,comparator_seed_count,paired_seed_ids,n_samples,reference_score,comparator_score,improvement,ci95_lower,ci95_upper,p_value_two_sided,bootstrap_replicates_valid,resampling_mode,seed_resampling,reference_seed_uncertainty_available,comparator_seed_uncertainty_available,p_value_bh_fdr,significant_fdr_0_05
bioavailability_ma,AUROC,common_pool_taskwise_selector,validation_stacking,101;202;303;404;505,101;202;303;404;505,5,5,True,128,0.6425008313934153,0.6278683072830064,0.0146325241104089,-0.0832464389814662,0.1122112211221122,0.7689231076892311,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
bioavailability_ma,AUROC,common_pool_taskwise_selector,validation_top2_average,101;202;303;404;505,101;202;303;404;505,5,5,True,128,0.6425008313934153,0.6444961755902894,-0.001995344196874,-0.0143941495609911,0.0132040475444796,0.9935006499350064,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
bioavailability_ma,AUROC,common_pool_taskwise_selector,validation_top3_average,101;202;303;404;505,101;202;303;404;505,5,5,True,128,0.6425008313934153,0.6677751912204855,-0.0252743598270701,-0.0792287578315125,0.0264082871012483,0.3905609439056094,10000,hierarchical_seed_and_sample,paired,True,True,0.7387505151923831,False
caco2_wang,MAE,common_pool_taskwise_selector,common_pool_automl,101;202;303;404;505,101;202;303;404;505,5,5,True,182,0.3338120063071694,0.3341994563025293,0.0003874499953598,-0.0056442540491297,0.0070213199587894,0.8101189881011899,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
caco2_wang,MAE,common_pool_taskwise_selector,global_single,101;202;303;404;505,101;202;303;404;505,5,5,True,182,0.3338120063071694,0.3611222047252748,0.0273101984181053,-0.0053848552075483,0.0613599776230436,0.1063893610638936,10000,hierarchical_seed_and_sample,paired,True,True,0.2978902109789021,False
caco2_wang,MAE,common_pool_taskwise_selector,per_task_single,101;202;303;404;505,101;202;303;404;505,5,5,True,182,0.3338120063071694,0.3611222047252748,0.0273101984181053,-0.0048520422252608,0.0609052007381221,0.094990500949905,10000,hierarchical_seed_and_sample,paired,True,True,0.2708988360423217,False
caco2_wang,MAE,common_pool_taskwise_selector,uniform_candidate_average,101;202;303;404;505,101;202;303;404;505,5,5,True,182,0.3338120063071694,0.3499005351404152,0.0160885288332457,-0.0210512833540212,0.0538474235242084,0.4043595640435956,10000,hierarchical_seed_and_sample,paired,True,True,0.7502575043700449,False
caco2_wang,MAE,common_pool_taskwise_selector,validation_stacking,101;202;303;404;505,101;202;303;404;505,5,5,True,182,0.3338120063071694,0.3338120063071694,0.0,0.0,0.0,1.0,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
caco2_wang,MAE,common_pool_taskwise_selector,validation_top2_average,101;202;303;404;505,101;202;303;404;505,5,5,True,182,0.3338120063071694,0.3229968230219781,-0.0108151832851913,-0.0427420772938041,0.0208372358385174,0.4991500849915009,10000,hierarchical_seed_and_sample,paired,True,True,0.8541012565410127,False
caco2_wang,MAE,common_pool_taskwise_selector,validation_top3_average,101;202;303;404;505,101;202;303;404;505,5,5,True,182,0.3338120063071694,0.2989629413919413,-0.0348490649152281,-0.0700748771581219,-0.0034185798772126,0.0283971602839716,10000,hierarchical_seed_and_sample,paired,True,True,0.0977467470644239,False
clearance_hepatocyte_az,Spearman,common_pool_taskwise_selector,common_pool_automl,101;202;303;404;505,101;202;303;404;505,5,5,True,243,0.3539675041980926,0.4728055534791486,-0.118838049281056,-0.1697217839563616,-0.0702750007145228,0.0001999800019998,10000,hierarchical_seed_and_sample,paired,True,True,0.0021997800219978,True
clearance_hepatocyte_az,Spearman,common_pool_taskwise_selector,global_single,101;202;303;404;505,101;202;303;404;505,5,5,True,243,0.3539675041980926,0.2036048420292887,0.1503626621688038,0.095090072873423,0.2082825670070965,0.0001999800019998,10000,hierarchical_seed_and_sample,paired,True,True,0.0021997800219978,True
clearance_hepatocyte_az,Spearman,common_pool_taskwise_selector,per_task_single,101;202;303;404;505,101;202;303;404;505,5,5,True,243,0.3539675041980926,0.2036048420292887,0.1503626621688038,0.0950765426381064,0.2084312260894094,0.0001999800019998,10000,hierarchical_seed_and_sample,paired,True,True,0.0021997800219978,True
clearance_hepatocyte_az,Spearman,common_pool_taskwise_selector,uniform_candidate_average,101;202;303;404;505,101;202;303;404;505,5,5,True,243,0.3539675041980926,0.4955735992307671,-0.1416060950326745,-0.2047326518459579,-0.0838237170122393,0.0001999800019998,10000,hierarchical_seed_and_sample,paired,True,True,0.0021997800219978,True
clearance_hepatocyte_az,Spearman,common_pool_taskwise_selector,validation_stacking,101;202;303;404;505,101;202;303;404;505,5,5,True,243,0.3539675041980926,0.3960938430357688,-0.0421263388376761,-0.1070287232240206,0.024559725255538,0.2103789621037896,10000,hierarchical_seed_and_sample,paired,True,True,0.5050694930506948,False
clearance_hepatocyte_az,Spearman,common_pool_taskwise_selector,validation_top2_average,101;202;303;404;505,101;202;303;404;505,5,5,True,243,0.3539675041980926,0.2417673209590128,0.1122001832390797,0.0609035996839324,0.1593647615784099,0.0003999600039996,10000,hierarchical_seed_and_sample,paired,True,True,0.0041062560410625,True
clearance_hepatocyte_az,Spearman,common_pool_taskwise_selector,validation_top3_average,101;202;303;404;505,101;202;303;404;505,5,5,True,243,0.3539675041980926,0.3539675041980926,0.0,0.0,0.0,1.0,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
clearance_microsome_az,Spearman,common_pool_taskwise_selector,common_pool_automl,101;202;303;404;505,101;202;303;404;505,5,5,True,221,0.5613260763710792,0.5609369218934567,0.0003891544776225,-0.0242462111422099,0.0260521079121151,0.9605039496050396,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
clearance_microsome_az,Spearman,common_pool_taskwise_selector,global_single,101;202;303;404;505,101;202;303;404;505,5,5,True,221,0.5613260763710792,0.6072144906418555,-0.0458884142707762,-0.1081857801860122,0.02432142581263,0.2065793420657934,10000,hierarchical_seed_and_sample,paired,True,True,0.5050694930506948,False
clearance_microsome_az,Spearman,common_pool_taskwise_selector,per_task_single,101;202;303;404;505,101;202;303;404;505,5,5,True,221,0.5613260763710792,0.4386393642664775,0.1226867121046016,0.0652613082399738,0.1863544517422879,0.0001999800019998,10000,hierarchical_seed_and_sample,paired,True,True,0.0021997800219978,True
clearance_microsome_az,Spearman,common_pool_taskwise_selector,uniform_candidate_average,101;202;303;404;505,101;202;303;404;505,5,5,True,221,0.5613260763710792,0.6280754430773287,-0.0667493667062494,-0.1118594908596403,-0.027034716584602,0.0005999400059994,10000,hierarchical_seed_and_sample,paired,True,True,0.0046195380461953,True
clearance_microsome_az,Spearman,common_pool_taskwise_selector,validation_stacking,101;202;303;404;505,101;202;303;404;505,5,5,True,221,0.5613260763710792,0.4601430716455905,0.1011830047254887,0.0449107994242439,0.1621976930518137,0.0005999400059994,10000,hierarchical_seed_and_sample,paired,True,True,0.0046195380461953,True
clearance_microsome_az,Spearman,common_pool_taskwise_selector,validation_top2_average,101;202;303;404;505,101;202;303;404;505,5,5,True,221,0.5613260763710792,0.458610517419691,0.1027155589513882,0.0538103942791434,0.1550160903043722,0.0001999800019998,10000,hierarchical_seed_and_sample,paired,True,True,0.0021997800219978,True
clearance_microsome_az,Spearman,common_pool_taskwise_selector,validation_top3_average,101;202;303;404;505,101;202;303;404;505,5,5,True,221,0.5613260763710792,0.5613260763710792,0.0,0.0,0.0,1.0,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
cyp2c9_substrate_carbonmangels,AUPRC,common_pool_taskwise_selector,common_pool_automl,101;202;303;404;505,101;202;303;404;505,5,5,True,135,0.4237101064659848,0.3939204773835902,0.0297896290823945,-0.0764650128231454,0.1784118018243598,0.4223577642235776,10000,hierarchical_seed_and_sample,paired,True,True,0.7652128904756583,False
cyp2c9_substrate_carbonmangels,AUPRC,common_pool_taskwise_selector,global_single,101;202;303;404;505,101;202;303;404;505,5,5,True,135,0.4237101064659848,0.4254741662640048,-0.00176405979802,-0.0217224459045222,0.032625221908979,0.8753124687531247,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
cyp2c9_substrate_carbonmangels,AUPRC,common_pool_taskwise_selector,per_task_single,101;202;303;404;505,101;202;303;404;505,5,5,True,135,0.4237101064659848,0.4254741662640048,-0.00176405979802,-0.0217848363890902,0.0330204130507966,0.8663133686631337,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
cyp2c9_substrate_carbonmangels,AUPRC,common_pool_taskwise_selector,uniform_candidate_average,101;202;303;404;505,101;202;303;404;505,5,5,True,135,0.4237101064659848,0.4078577450530279,0.0158523614129568,-0.0483492746432717,0.1125377335828337,0.5113488651134886,10000,hierarchical_seed_and_sample,paired,True,True,0.8653596178843653,False
cyp2c9_substrate_carbonmangels,AUPRC,common_pool_taskwise_selector,validation_stacking,101;202;303;404;505,101;202;303;404;505,5,5,True,135,0.4237101064659848,0.3985871552298742,0.0251229512361106,-0.0744483517350329,0.1657296252975089,0.485951404859514,10000,hierarchical_seed_and_sample,paired,True,True,0.840859734251294,False
