environment,path,python,platform,numpy,pandas,scikit_learn,xgboost,rdkit,torch,dgl,primary_use
trimole_bench310,/mnt/afs/250010150/envs/trimole_bench310/bin/python,3.10.20,"Linux 5.14.0 x86_64, glibc 2.31",2.2.6,2.3.3,1.7.2,3.2.0,2026.03.1,2.5.1+cu121,not used in this environment,"official-split tabular, fingerprint, descriptor, XGBoost/ExtraTrees, endpoint assembly and formal ablation jobs"
kpgt,/mnt/afs/250010150/envs/kpgt/bin/python,3.10.19,Linux 5.14.0 x86_64,1.26.4,not recorded,not recorded,not recorded,2025.03.6,2.1.2+cu121,2.0.0+cu121,KPGT graph feature extraction and replay components
