task,variant,metric,direction,n_runs,score_mean,score_std,top1_ref,direction_normalized_margin,delta_margin_vs_full,diagnostic_margin_ge_0,selected_candidate,selected_endpoint_config,valid_metric_used_for_selection,valid_score,test_score_source_file,selection_protocol,uses_chemistry_sidecar,uses_ept_or_3d,uses_prediction_level_ensemble,uses_seedbag,missing_reason
ld50_zhu,full_v36_final,MAE,min,5,0.603071,0.003837,0.552,-0.0510709999999999,0.0,False,fixed_chemical_endpoint_5run_v1/paper_main_chemical_prior_xl_v4_all22_32core_summary_rebuilt_from_json.csv,"Canonical backup uses xl fixed chemical endpoint: xl_v4_chemberta_kpgt/chem_xl_full_chemical_prior/xgb/topk=4096; formal seeds=101,202,303,404,505.",,,results_strict/final_22task_score_config_table_v36.csv,Reference row from current v36 formal result/config table.,True,True,False,True,
lipophilicity_astrazeneca,full_v36_final,MAE,min,5,0.472895,0.006499,0.456,-0.0168949999999999,0.0,False,v29_rank_uplift_formula_seedwise,raw(0.2*XL_K + 0.1*tabular FP + 0.3*K metric_auto + 0.4*K SmoothL1 seedbag),,,results_strict/final_22task_score_config_table_v36.csv,Reference row from current v36 formal result/config table.,True,True,True,True,
pgp_broccatelli,full_v36_final,AUROC,max,5,0.938363,0.003565,0.938,0.000363,0.0,True,pgp_frozen_blend_audit_v1,logit(0.65*layerwise_selected_gated + 0.25*aux_K+E + 0.10*aux_K),,,results_strict/final_22task_score_config_table_v36.csv,Reference row from current v36 formal result/config table.,False,False,True,False,
ppbr_az,full_v36_final,MAE,min,5,7.330617,0.098555,7.44,0.1093830000000002,0.0,True,ppbr_kpgt_fp_seedbag_endpoint_v1,0.7*KPGT_seedbag + 0.3*fp_only,,,results_strict/final_22task_score_config_table_v36.csv,Reference row from current v36 formal result/config table.,True,False,True,True,
solubility_aqsoldb,full_v36_final,MAE,min,5,0.738443,0.000456,0.741,0.002557,0.0,True,solubility_clean_selector_v2_valid_selected_fp_xgb_metric_xl,0.3*FP-XGB + 0.3*metric_auto(K+E) + 0.4*XL_v4,,,results_strict/final_22task_score_config_table_v36.csv,Reference row from current v36 formal result/config table.,True,True,False,False,
vdss_lombardo,full_v36_final,Spearman,max,5,0.660995,0.004668,0.713,-0.0520049999999999,0.0,False,v29_rank_uplift_formula_seedwise,rank(0.9*KPGT+EPT Spearman seedbag + 0.1*KPGT+EPT descriptor sidecar),,,results_strict/final_22task_score_config_table_v36.csv,Reference row from current v36 formal result/config table.,True,True,True,True,
ames,no_chemistry_sidecar,AUROC,max,5,0.69588086706221,0.0070153603451831,0.871,-0.17511913293779,-0.17606413293779,False,deep_chemberta_kpgt_ridge_linear,ChemBERTa+KPGT embeddings + target-standardized Ridge/linear head,AUROC,0.6923019081038893,results_strict/ablation_v36_formal/candidate_predictions/deep_chemberta_kpgt_ridge_linear/ames/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,False,False,False,
bbb_martins,no_chemistry_sidecar,AUROC,max,5,0.7570512820512819,0.0213106691893121,0.924,-0.1669487179487181,-0.1707277179487181,False,deep_chemberta_kpgt_ridge_linear,ChemBERTa+KPGT embeddings + target-standardized Ridge/linear head,AUROC,0.8018394233159333,results_strict/ablation_v36_formal/candidate_predictions/deep_chemberta_kpgt_ridge_linear/bbb_martins/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,False,False,False,
bioavailability_ma,no_chemistry_sidecar,AUROC,max,5,0.545826405054872,0.0499195635831966,0.942,-0.3961735949451279,-0.176421594945128,False,deep_chemberta_ridge_linear,ChemBERTa embedding + target-standardized Ridge/linear head,AUROC,0.6514950166112958,results_strict/ablation_v36_formal/candidate_predictions/deep_chemberta_ridge_linear/bioavailability_ma/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,False,False,False,
caco2_wang,no_chemistry_sidecar,MAE,min,5,0.3649304504471999,0.0,0.256,-0.1089304504471999,-0.0812834504471999,False,deep_ept_ridge_linear,EPT/3D embedding + target-standardized Ridge/linear head,MAE,0.4752356014450576,results_strict/ablation_v36_formal/candidate_predictions/deep_ept_ridge_linear/caco2_wang/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,True,False,False,
