task,variant,metric,direction,n_runs,score_mean,score_std,top1_ref,direction_normalized_margin,delta_margin_vs_full,diagnostic_margin_ge_0,selected_candidate,selected_endpoint_config,valid_metric_used_for_selection,valid_score,test_score_source_file,selection_protocol,uses_chemistry_sidecar,uses_ept_or_3d,uses_prediction_level_ensemble,uses_seedbag,missing_reason
cyp2d6_veith,no_ept_or_no_3d,AUPRC,max,5,0.6961381524649516,0.0036931380719961,0.79,-0.0938618475350484,-0.0230338475350484,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUPRC,0.7289673759367181,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/cyp2d6_veith/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",True,False,False,False,
cyp3a4_substrate_carbonmangels,no_ept_or_no_3d,AUROC,max,5,0.6705470162748643,0.0067111360033017,0.667,0.0035470162748643,-0.0547019837251356,True,chem_fp_xgb,Morgan fingerprint + fixed XGBoost head,AUROC,0.7910394265232974,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_xgb/cyp3a4_substrate_carbonmangels/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",True,False,False,False,
cyp3a4_veith,no_ept_or_no_3d,AUPRC,max,5,0.8612921926155332,0.0011695924276257,0.916,-0.0547078073844667,-0.0228288073844667,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUPRC,0.8803167660208754,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/cyp3a4_veith/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",True,False,False,False,
dili,no_ept_or_no_3d,AUROC,max,5,0.8666086956521738,0.0067314121299144,0.956,-0.0893913043478261,-0.0420003043478262,False,chem_fp_xgb,Morgan fingerprint + fixed XGBoost head,AUROC,0.8382417582417583,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_xgb/dili/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",True,False,False,False,
half_life_obach,no_ept_or_no_3d,Spearman,max,5,0.4018744224350543,0.0322303826400825,0.576,-0.1741255775649456,-0.0895155775649456,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Spearman,0.5196882822613267,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/half_life_obach/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",True,False,False,False,
herg,no_ept_or_no_3d,AUROC,max,5,0.8139911634756996,0.0093214977310437,0.88,-0.0660088365243004,-0.0493668365243004,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUROC,0.8517857142857143,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/herg/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",True,False,False,False,
hia_hou,no_ept_or_no_3d,AUROC,max,5,0.9508641975308642,0.0042528430231321,0.993,-0.0421358024691358,-0.0434158024691359,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUROC,0.99625,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/hia_hou/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",True,False,False,False,
ld50_zhu,no_ept_or_no_3d,MAE,min,5,0.6285455688031343,0.0051829316939143,0.552,-0.0765455688031342,-0.0254745688031342,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,MAE,0.5476470731394526,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/ld50_zhu/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",True,False,False,False,
lipophilicity_astrazeneca,no_ept_or_no_3d,MAE,min,5,0.5614764313300451,0.0,0.456,-0.105476431330045,-0.088581431330045,False,deep_kpgt_ridge_linear,KPGT embedding + target-standardized Ridge/linear head,MAE,0.6272333172616505,results_strict/ablation_v36_formal/candidate_predictions/deep_kpgt_ridge_linear/lipophilicity_astrazeneca/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",False,False,False,False,
pgp_broccatelli,no_ept_or_no_3d,AUROC,max,5,0.9309650759797388,0.0022682176461591,0.938,-0.0070349240202611,-0.0073979240202611,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUROC,0.924966406879871,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/pgp_broccatelli/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",True,False,False,False,
ppbr_az,no_ept_or_no_3d,MAE,min,5,8.861805945872408,0.11970866586955,7.44,-1.421805945872408,-1.531188945872408,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,MAE,12.5232552851195,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/ppbr_az/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",True,False,False,False,
solubility_aqsoldb,no_ept_or_no_3d,MAE,min,5,0.8666045093254535,0.0033285437734012,0.741,-0.1256045093254535,-0.1281615093254535,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,MAE,1.151823208967117,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/solubility_aqsoldb/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",True,False,False,False,
vdss_lombardo,no_ept_or_no_3d,Spearman,max,5,0.4570863339950263,0.0131220791005511,0.713,-0.2559136660049736,-0.2039086660049737,False,chem_fp_xgb,Morgan fingerprint + fixed XGBoost head,Spearman,0.4585386088714913,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_xgb/vdss_lombardo/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",True,False,False,False,
ames,no_prediction_level_ensemble,AUROC,max,5,0.8552409485206288,0.0018591938264062,0.871,-0.0157590514793711,-0.0167040514793711,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUROC,0.7984294788407966,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/ames/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",True,False,False,False,
bbb_martins,no_prediction_level_ensemble,AUROC,max,5,0.9048076923076924,0.0020873298602146,0.924,-0.0191923076923077,-0.0229713076923077,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUROC,0.9165050956997266,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/bbb_martins/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",True,True,False,False,
bioavailability_ma,no_prediction_level_ensemble,AUROC,max,5,0.6442966411706019,0.0089407848427836,0.942,-0.297703358829398,-0.077951358829398,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUROC,0.7269102990033223,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/bioavailability_ma/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",True,False,False,False,
caco2_wang,no_prediction_level_ensemble,MAE,min,5,0.3653081944549426,0.022378045376126,0.256,-0.1093081944549426,-0.0816611944549426,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,MAE,0.3888879240827018,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/caco2_wang/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",True,True,False,False,
clearance_hepatocyte_az,no_prediction_level_ensemble,Spearman,max,5,0.2003195287770167,0.0182003793867156,0.536,-0.3356804712229833,-0.3517204712229832,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,Spearman,0.4421555810131842,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/clearance_hepatocyte_az/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",True,True,False,False,
clearance_microsome_az,no_prediction_level_ensemble,Spearman,max,5,0.4382440419419504,5.235539490165512e-05,0.63,-0.1917559580580495,-0.2045699580580495,False,deep_kpgt_ridge_linear,KPGT embedding + target-standardized Ridge/linear head,Spearman,0.5495150559800346,results_strict/ablation_v36_formal/candidate_predictions/deep_kpgt_ridge_linear/clearance_microsome_az/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",False,False,False,False,
cyp2c9_substrate_carbonmangels,no_prediction_level_ensemble,AUPRC,max,5,0.4317527297592513,0.0189350356041419,0.474,-0.0422472702407486,-0.0116172702407486,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUPRC,0.3901324408377309,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/cyp2c9_substrate_carbonmangels/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",True,True,False,False,
cyp2c9_veith,no_prediction_level_ensemble,AUPRC,max,5,0.7710219942765797,0.0023590094440746,0.859,-0.0879780057234203,-0.0195640057234203,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUPRC,0.786004621952092,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/cyp2c9_veith/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",True,False,False,False,
cyp2d6_substrate_carbonmangels,no_prediction_level_ensemble,AUPRC,max,5,0.7021059512272266,0.0133283670343022,0.736,-0.0338940487727733,-0.0454250487727733,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUPRC,0.5462979558276735,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/cyp2d6_substrate_carbonmangels/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",True,False,False,False,
cyp2d6_veith,no_prediction_level_ensemble,AUPRC,max,5,0.6961381524649516,0.0036931380719961,0.79,-0.0938618475350484,-0.0230338475350484,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUPRC,0.7289673759367181,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/cyp2d6_veith/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",True,False,False,False,
cyp3a4_substrate_carbonmangels,no_prediction_level_ensemble,AUROC,max,5,0.6705470162748643,0.0067111360033017,0.667,0.0035470162748643,-0.0547019837251356,True,chem_fp_xgb,Morgan fingerprint + fixed XGBoost head,AUROC,0.7910394265232974,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_xgb/cyp3a4_substrate_carbonmangels/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",True,False,False,False,
cyp3a4_veith,no_prediction_level_ensemble,AUPRC,max,5,0.8612921926155332,0.0011695924276257,0.916,-0.0547078073844667,-0.0228288073844667,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUPRC,0.8803167660208754,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/cyp3a4_veith/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",True,False,False,False,
dili,no_prediction_level_ensemble,AUROC,max,5,0.8666086956521738,0.0067314121299144,0.956,-0.0893913043478261,-0.0420003043478262,False,chem_fp_xgb,Morgan fingerprint + fixed XGBoost head,AUROC,0.8382417582417583,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_xgb/dili/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",True,False,False,False,
half_life_obach,no_prediction_level_ensemble,Spearman,max,5,0.4018744224350543,0.0322303826400825,0.576,-0.1741255775649456,-0.0895155775649456,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Spearman,0.5196882822613267,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/half_life_obach/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",True,False,False,False,
herg,no_prediction_level_ensemble,AUROC,max,5,0.8164948453608247,0.0092138393635446,0.88,-0.0635051546391752,-0.0468631546391752,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUROC,0.878968253968254,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/herg/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",True,True,False,False,
hia_hou,no_prediction_level_ensemble,AUROC,max,5,0.9508641975308642,0.0042528430231321,0.993,-0.0421358024691358,-0.0434158024691359,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUROC,0.99625,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/hia_hou/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",True,False,False,False,
ld50_zhu,no_prediction_level_ensemble,MAE,min,5,0.6192784960295092,0.0028953504959784,0.552,-0.0672784960295092,-0.0162074960295092,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,MAE,0.5417971992492676,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/ld50_zhu/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",True,True,False,False,
lipophilicity_astrazeneca,no_prediction_level_ensemble,MAE,min,5,0.5572363431113107,0.0,0.456,-0.1012363431113106,-0.0843413431113106,False,deep_kpgt_ept_ridge_linear,KPGT+EPT embeddings + target-standardized Ridge/linear head,MAE,0.6069383616220383,results_strict/ablation_v36_formal/candidate_predictions/deep_kpgt_ept_ridge_linear/lipophilicity_astrazeneca/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",False,True,False,False,
pgp_broccatelli,no_prediction_level_ensemble,AUROC,max,5,0.929285523860304,0.0023260368390582,0.938,-0.008714476139696,-0.009077476139696,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUROC,0.9364149422198336,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/pgp_broccatelli/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",True,True,False,False,
ppbr_az,no_prediction_level_ensemble,MAE,min,5,9.195011191161672,0.1124528344322945,7.44,-1.755011191161672,-1.864394191161672,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,MAE,11.90576154778593,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/ppbr_az/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",True,True,False,False,
solubility_aqsoldb,no_prediction_level_ensemble,MAE,min,5,0.8382019154940069,0.0030341993428967,0.741,-0.0972019154940069,-0.0997589154940069,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,MAE,1.084091611739284,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/solubility_aqsoldb/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",True,True,False,False,
vdss_lombardo,no_prediction_level_ensemble,Spearman,max,5,0.4570863339950263,0.0131220791005511,0.713,-0.2559136660049736,-0.2039086660049737,False,chem_fp_xgb,Morgan fingerprint + fixed XGBoost head,Spearman,0.4585386088714913,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_xgb/vdss_lombardo/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",True,False,False,False,
ames,no_seedbag_single_seed,AUROC,max,1,0.8551077953357222,,0.871,-0.0158922046642777,-0.0168372046642777,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUROC,0.8002868184096807,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/ames/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,False,False,False,
bbb_martins,no_seedbag_single_seed,AUROC,max,1,0.902439024390244,,0.924,-0.0215609756097561,-0.025339975609756,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUROC,0.9215759383544618,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/bbb_martins/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,True,False,False,
bioavailability_ma,no_seedbag_single_seed,AUROC,max,1,0.6458264050548721,,0.942,-0.2961735949451278,-0.0764215949451279,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUROC,0.7275747508305648,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/bioavailability_ma/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,False,False,False,
caco2_wang,no_seedbag_single_seed,MAE,min,1,0.3520695007222605,,0.256,-0.0960695007222605,-0.0684225007222605,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,MAE,0.394596517022906,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/caco2_wang/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,True,False,False,
clearance_hepatocyte_az,no_seedbag_single_seed,Spearman,max,1,0.1788322549824511,,0.536,-0.3571677450175489,-0.3732077450175489,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,Spearman,0.4385020185560137,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/clearance_hepatocyte_az/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,True,False,False,
clearance_microsome_az,no_seedbag_single_seed,Spearman,max,1,0.4382058069675574,,0.63,-0.1917941930324425,-0.2046081930324425,False,deep_kpgt_ridge_linear,KPGT embedding + target-standardized Ridge/linear head,Spearman,0.5494725608915224,results_strict/ablation_v36_formal/candidate_predictions/deep_kpgt_ridge_linear/clearance_microsome_az/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,False,False,False,False,
cyp2c9_substrate_carbonmangels,no_seedbag_single_seed,AUPRC,max,1,0.4517016156517738,,0.474,-0.0222983843482261,0.0083316156517738,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUPRC,0.3802017496812259,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/cyp2c9_substrate_carbonmangels/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,True,False,False,
cyp2c9_veith,no_seedbag_single_seed,AUPRC,max,1,0.7700697697202045,,0.859,-0.0889302302797955,-0.0205162302797955,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUPRC,0.7849107561784668,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/cyp2c9_veith/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,False,False,False,
cyp2d6_substrate_carbonmangels,no_seedbag_single_seed,AUPRC,max,1,0.6985240233492779,,0.736,-0.0374759766507221,-0.049006976650722,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUPRC,0.5862188617678519,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/cyp2d6_substrate_carbonmangels/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,False,False,False,
cyp2d6_veith,no_seedbag_single_seed,AUPRC,max,1,0.7008360219135269,,0.79,-0.0891639780864731,-0.0183359780864731,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUPRC,0.7335270048297425,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/cyp2d6_veith/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,False,False,False,
cyp3a4_substrate_carbonmangels,no_seedbag_single_seed,AUROC,max,1,0.6734855334538878,,0.667,0.0064855334538878,-0.0517634665461121,True,chem_fp_xgb,Morgan fingerprint + fixed XGBoost head,AUROC,0.7983870967741935,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_xgb/cyp3a4_substrate_carbonmangels/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,False,False,False,
cyp3a4_veith,no_seedbag_single_seed,AUPRC,max,1,0.8623033394316458,,0.916,-0.0536966605683542,-0.0218176605683542,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUPRC,0.8825056929906333,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/cyp3a4_veith/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,False,False,False,
dili,no_seedbag_single_seed,AUROC,max,1,0.8578260869565217,,0.956,-0.0981739130434782,-0.0507829130434782,False,chem_fp_xgb,Morgan fingerprint + fixed XGBoost head,AUROC,0.8395604395604396,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_xgb/dili/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,False,False,False,
half_life_obach,no_seedbag_single_seed,Spearman,max,1,0.4196225087944947,,0.576,-0.1563774912055052,-0.0717674912055053,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Spearman,0.5243222266540136,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/half_life_obach/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,False,False,False,
herg,no_seedbag_single_seed,AUROC,max,1,0.804860088365243,,0.88,-0.0751399116347569,-0.0584979116347569,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUROC,0.8789682539682541,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/herg/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,True,False,False,
