drug,perturbation_id,source_note,smiles,edit,target_region,atom_indices,task_sheet,task,external_label,original_input_smiles,canonical_smiles,trimole_exact_reconstructed_pred_mean,trimole_exact_reconstructed_pred_std,n_runs,prediction_status,endpoint_config,official_test_replay_max_abs_diff_vs_materialized,official_test_replay_mean_abs_diff_vs_materialized,exact_v36_external_status,MolWt,cLogP,TPSA,HBD,HBA,RotBonds,HeavyAtoms,original_score,score_delta_vs_original,abs_score_delta_vs_original,delta_MolWt_vs_original,delta_cLogP_vs_original,delta_TPSA_vs_original,delta_HBD_vs_original,delta_HBA_vs_original,delta_RotBonds_vs_original,delta_HeavyAtoms_vs_original
Tezacaftor,Tezacaftor__O_to_CH2__05,matched replacement perturbation,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)CC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,O -> CH2,oxygen linker / polarity region,20.0,TDC.Pgp,pgp_broccatelli,1.0,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)CC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,0.4257728465420648,0.1630307516001873,5,exact_v36_selected_endpoint_reconstructed_external_prediction,pgp_frozen_blend_audit_v1; logit blend 0.65*layerwise C+K+E gated + 0.25*K+E + 0.10*K; seeds 1-5,9.89798852879531e-08,1.8222689001294505e-08,exact_reconstruction_pass,518.5320000000003,3.601500000000002,103.95,4,6,8,37,0.3826286849175114,0.0431441616245534,0.0431441616245534,-1.97199999999998,0.2061999999999999,-9.230000000000004,0,-1,0,0
Mavorixafor,Mavorixafor__aliphatic_N_to_C__03,matched replacement perturbation,NCCCCC(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc21,aliphatic N -> C,basic amine / linker region,5.0,TDC.Pgp,pgp_broccatelli,1.0,NCCCCN(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc21,NCCCCC(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc21,0.5110762703290738,0.213747510704935,5,exact_v36_selected_endpoint_reconstructed_external_prediction,pgp_frozen_blend_audit_v1; logit blend 0.65*layerwise C+K+E gated + 0.25*K+E + 0.10*K; seeds 1-5,9.89798852879531e-08,1.8222689001294505e-08,exact_reconstruction_pass,348.49400000000014,4.365700000000004,67.59,2,3,7,26,0.4808435312183512,0.0302327391107225,0.0302327391107225,-0.9880000000000564,0.7893000000000017,-3.239999999999995,0,-1,0,0
Vanzacaftor,Vanzacaftor__sat_ring_CH2_to_O__09,matched replacement perturbation,CC1(C)O[C@@H]2CCCNc3cccc(n3)S(=O)(=O)NC(=O)c3ccc(-n4ccc(OCCC5C6(CC6)C56CC6)n4)nc3N1C2,saturated ring CH2 -> O,saturated ring polarity/shape region,3.0,TDC.Pgp,pgp_broccatelli,1.0,CC1(C)C[C@H]2CN1C1=NC(=CC=C1C(=O)NS(=O)(=O)C1=CC=CC(NCCC2)=N1)N1C=CC(OCCC2C3(CC3)C22CC2)=N1,CC1(C)O[C@@H]2CCCNc3cccc(n3)S(=O)(=O)NC(=O)c3ccc(-n4ccc(OCCC5C6(CC6)C56CC6)n4)nc3N1C2,0.8610854933053116,0.0510171928457218,5,exact_v36_selected_endpoint_reconstructed_external_prediction,pgp_frozen_blend_audit_v1; logit blend 0.65*layerwise C+K+E gated + 0.25*K+E + 0.10*K; seeds 1-5,9.89798852879531e-08,1.8222689001294505e-08,exact_reconstruction_pass,619.748,3.887100000000003,140.57,2,11,5,44,0.888676573293141,-0.0275910799878293,0.0275910799878293,1.9720000000000937,-0.6636000000000006,9.22999999999996,0,1,0,0
Tezacaftor,Tezacaftor__F_removed__06,matched replacement perturbation,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,F removal,halogenated hydrophobic region,22.0,TDC.Pgp,pgp_broccatelli,1.0,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,0.3559940490675658,0.1471030069646477,5,exact_v36_selected_endpoint_reconstructed_external_prediction,pgp_frozen_blend_audit_v1; logit blend 0.65*layerwise C+K+E gated + 0.25*K+E + 0.10*K; seeds 1-5,9.89798852879531e-08,1.8222689001294505e-08,exact_reconstruction_pass,502.51400000000024,3.098100000000001,113.18,4,7,8,36,0.3826286849175114,-0.0266346358499455,0.0266346358499455,-17.99000000000001,-0.297200000000001,0.0,0,0,0,-1
Vanzacaftor,Vanzacaftor__aliphatic_N_to_C__04,matched replacement perturbation,CC1(C)C[C@@H]2CCCNc3cccc(n3)S(=O)(=O)CC(=O)c3ccc(-n4ccc(OCCC5C6(CC6)C56CC6)n4)nc3N1C2,aliphatic N -> C,basic amine / linker region,15.0,TDC.Pgp,pgp_broccatelli,1.0,CC1(C)C[C@H]2CN1C1=NC(=CC=C1C(=O)NS(=O)(=O)C1=CC=CC(NCCC2)=N1)N1C=CC(OCCC2C3(CC3)C22CC2)=N1,CC1(C)C[C@@H]2CCCNc3cccc(n3)S(=O)(=O)CC(=O)c3ccc(-n4ccc(OCCC5C6(CC6)C56CC6)n4)nc3N1C2,0.9074265712060322,0.0115361930451196,5,exact_v36_selected_endpoint_reconstructed_external_prediction,pgp_frozen_blend_audit_v1; logit blend 0.65*layerwise C+K+E gated + 0.25*K+E + 0.10*K; seeds 1-5,9.89798852879531e-08,1.8222689001294505e-08,exact_reconstruction_pass,616.788,5.088600000000005,119.31,1,10,5,44,0.888676573293141,0.0187499979128912,0.0187499979128912,-0.9879999999999428,0.5379000000000014,-12.03000000000003,-1,0,0,0
Vanzacaftor,Vanzacaftor__aliphatic_N_to_C__01,matched replacement perturbation,CC1(C)C[C@@H]2CCCNc3cccc(n3)S(=O)(=O)NC(=O)c3ccc(-n4ccc(OCCC5C6(CC6)C56CC6)n4)nc3C1C2,aliphatic N -> C,basic amine / linker region,6.0,TDC.Pgp,pgp_broccatelli,1.0,CC1(C)C[C@H]2CN1C1=NC(=CC=C1C(=O)NS(=O)(=O)C1=CC=CC(NCCC2)=N1)N1C=CC(OCCC2C3(CC3)C22CC2)=N1,CC1(C)C[C@@H]2CCCNc3cccc(n3)S(=O)(=O)NC(=O)c3ccc(-n4ccc(OCCC5C6(CC6)C56CC6)n4)nc3C1C2,0.8730705202300225,0.038476791731973,5,exact_v36_selected_endpoint_reconstructed_external_prediction,pgp_frozen_blend_audit_v1; logit blend 0.65*layerwise C+K+E gated + 0.25*K+E + 0.10*K; seeds 1-5,9.89798852879531e-08,1.8222689001294505e-08,exact_reconstruction_pass,616.788,5.465600000000005,128.10000000000002,2,9,5,44,0.888676573293141,-0.0156060530631184,0.0156060530631184,-0.9879999999999428,0.9149000000000012,-3.240000000000009,0,-1,0,0
Deutivacaftor,Deutivacaftor__aliphatic_N_to_C__02,matched replacement perturbation,[2H]C([2H])([2H])C(c1cc(C(C)(C)C)c(CC(=O)c2c[nH]c3ccccc3c2=O)cc1O)(C([2H])([2H])[2H])C([2H])([2H])[2H],aliphatic N -> C,basic amine / linker region,15.0,TDC.Pgp,pgp_broccatelli,1.0,[2H]C([2H])([2H])C(C1=C(C=C(C(=C1)C(C)(C)C)NC(=O)C2=CNC3=CC=CC=C3C2=O)O)(C([2H])([2H])[2H])C([2H])([2H])[2H],[2H]C([2H])([2H])C(c1cc(C(C)(C)C)c(CC(=O)c2c[nH]c3ccccc3c2=O)cc1O)(C([2H])([2H])[2H])C([2H])([2H])[2H],0.8990165233836673,0.0266388254370921,5,exact_v36_selected_endpoint_reconstructed_external_prediction,pgp_frozen_blend_audit_v1; logit blend 0.65*layerwise C+K+E gated + 0.25*K+E + 0.10*K; seeds 1-5,9.89798852879531e-08,1.8222689001294505e-08,exact_reconstruction_pass,400.5659160020001,5.254100000000005,70.16,2,3,3,29,0.914545372174849,-0.0155288487911816,0.0155288487911816,-0.9880000000000564,0.1731000000000007,-12.03,-1,0,1,0
Vanzacaftor,Vanzacaftor__O_to_CH2__02,matched replacement perturbation,C=C1NS(=O)(=O)c2cccc(n2)NCCC[C@@H]2CN(c3nc(-n4ccc(OCCC5C6(CC6)C56CC6)n4)ccc31)C(C)(C)C2,O -> CH2,oxygen linker / polarity region,14.0,TDC.Pgp,pgp_broccatelli,1.0,CC1(C)C[C@H]2CN1C1=NC(=CC=C1C(=O)NS(=O)(=O)C1=CC=CC(NCCC2)=N1)N1C=CC(OCCC2C3(CC3)C22CC2)=N1,C=C1NS(=O)(=O)c2cccc(n2)NCCC[C@@H]2CN(c3nc(-n4ccc(OCCC5C6(CC6)C56CC6)n4)ccc31)C(C)(C)C2,0.9007521843855836,0.0267493577639043,5,exact_v36_selected_endpoint_reconstructed_external_prediction,pgp_frozen_blend_audit_v1; logit blend 0.65*layerwise C+K+E gated + 0.25*K+E + 0.10*K; seeds 1-5,9.89798852879531e-08,1.8222689001294505e-08,exact_reconstruction_pass,615.8040000000002,5.381200000000006,114.27,2,9,5,44,0.888676573293141,0.0120756110924425,0.0120756110924425,-1.9719999999997528,0.8305000000000025,-17.07000000000002,0,-1,0,0
Mavorixafor,Mavorixafor__aliphatic_N_to_O__01,matched replacement perturbation,OCCCCN(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc21,aliphatic N -> O,basic amine / polar linker region,0.0,TDC.Pgp,pgp_broccatelli,1.0,NCCCCN(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc21,OCCCCN(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc21,0.4707794800556106,0.1938371208447214,5,exact_v36_selected_endpoint_reconstructed_external_prediction,pgp_frozen_blend_audit_v1; logit blend 0.65*layerwise C+K+E gated + 0.25*K+E + 0.10*K; seeds 1-5,9.89798852879531e-08,1.8222689001294505e-08,exact_reconstruction_pass,350.4660000000002,3.610000000000002,65.03999999999999,2,4,7,26,0.4808435312183512,-0.0100640511627406,0.0100640511627406,0.9839999999999804,0.0335999999999998,-5.790000000000006,0,0,0,0
Vanzacaftor,Vanzacaftor__O_to_CH2__05,matched replacement perturbation,C=S1(=O)NC(=O)c2ccc(-n3ccc(OCCC4C5(CC5)C45CC5)n3)nc2N2C[C@@H](CCCNc3cccc1n3)CC2(C)C,O -> CH2,oxygen linker / polarity region,17.0,TDC.Pgp,pgp_broccatelli,1.0,CC1(C)C[C@H]2CN1C1=NC(=CC=C1C(=O)NS(=O)(=O)C1=CC=CC(NCCC2)=N1)N1C=CC(OCCC2C3(CC3)C22CC2)=N1,C=S1(=O)NC(=O)c2ccc(-n3ccc(OCCC4C5(CC5)C45CC5)n3)nc2N2C[C@@H](CCCNc3cccc1n3)CC2(C)C,0.8978525104528206,0.0177608548084807,5,exact_v36_selected_endpoint_reconstructed_external_prediction,pgp_frozen_blend_audit_v1; logit blend 0.65*layerwise C+K+E gated + 0.25*K+E + 0.10*K; seeds 1-5,9.89798852879531e-08,1.8222689001294505e-08,exact_reconstruction_pass,615.8040000000002,4.852300000000004,114.27,2,9,5,44,0.888676573293141,0.0091759371596795,0.0091759371596795,-1.9719999999997528,0.3016000000000005,-17.070000000000036,0,-1,0,0
