task,metric,model,source_family,candidate_count,candidate_count_definition,selection_budget,prediction_evidence_note,n_runs,n_samples,score_mean,score_sd
caco2_wang,MAE,per_task_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,182,0.33397820711686693,0.0
caco2_wang,MAE,trimole_hybrid,submitted_taskwise_system,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived,5,182,0.2836473732906736,0.002289674923587889
caco2_wang,MAE,uniform_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,182,0.6101151665235414,0.0
caco2_wang,MAE,validation_top2_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,182,0.4342931651491019,0.0
caco2_wang,MAE,validation_top3_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,182,0.6101151665235414,0.0
clearance_hepatocyte_az,Spearman,flaml_automl,matched_budget_automl,3,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision,5,243,0.18730546781819218,0.04285889260276562
clearance_hepatocyte_az,Spearman,global_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,243,0.24943282370393233,0.0
clearance_hepatocyte_az,Spearman,oof_stacking,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,243,0.3402463061293682,0.006096386457237451
clearance_hepatocyte_az,Spearman,per_task_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,243,0.3302528679512532,0.0
clearance_hepatocyte_az,Spearman,trimole_hybrid,submitted_taskwise_system,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived,5,243,0.2737101158416089,0.020235030266734705
clearance_hepatocyte_az,Spearman,uniform_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,243,0.3910450836839079,0.0
clearance_hepatocyte_az,Spearman,validation_top2_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,243,0.3494246389429374,0.0
clearance_hepatocyte_az,Spearman,validation_top3_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,243,0.3910450836839079,0.0
clearance_microsome_az,Spearman,flaml_automl,matched_budget_automl,3,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision,5,221,0.5320668325027775,0.0418954471517395
