task,metric,model,source_family,candidate_count,candidate_count_definition,selection_budget,prediction_evidence_note,n_runs,n_samples,score_mean,score_sd
hia_hou,AUROC,per_task_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,117,0.8995473251028807,0.022330744010514596
hia_hou,AUROC,trimole_hybrid,submitted_taskwise_system,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived,5,117,0.9942798353909466,0.001736215893804908
hia_hou,AUROC,uniform_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,117,0.9503292181069959,0.007641754807334525
hia_hou,AUROC,validation_top2_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,117,0.92440329218107,0.009979529930283537
hia_hou,AUROC,validation_top3_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,117,0.9503292181069959,0.007641754807334525
ld50_zhu,MAE,flaml_automl,matched_budget_automl,3,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision,5,1478,0.6584327987784089,0.01814649138267252
ld50_zhu,MAE,global_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,1478,0.6739934812759999,0.0
ld50_zhu,MAE,oof_stacking,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,1478,0.6084709452821354,0.0008229146462396323
ld50_zhu,MAE,per_task_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,1478,0.7653379705278089,0.0
ld50_zhu,MAE,trimole_hybrid,submitted_taskwise_system,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived,5,1478,0.6030709523866883,0.0038365005977275103
ld50_zhu,MAE,uniform_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,1478,0.6134245111354041,0.0
ld50_zhu,MAE,validation_top2_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,1478,0.6787262188943055,0.0
ld50_zhu,MAE,validation_top3_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,1478,0.6134245111354041,0.0
lipophilicity_astrazeneca,MAE,flaml_automl,matched_budget_automl,3,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision,5,840,0.6457735867045864,0.019711452442999173
lipophilicity_astrazeneca,MAE,global_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,840,0.7503387817484993,0.0
lipophilicity_astrazeneca,MAE,oof_stacking,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,840,0.5724135054235076,0.0005333501070143857
lipophilicity_astrazeneca,MAE,per_task_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,840,0.7503387817484993,0.0
lipophilicity_astrazeneca,MAE,trimole_hybrid,submitted_taskwise_system,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived,5,840,0.47289455443454387,0.006499286394686639
lipophilicity_astrazeneca,MAE,uniform_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,840,0.5906399495639498,0.0
lipophilicity_astrazeneca,MAE,validation_top2_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,840,0.5783100636260851,0.0
lipophilicity_astrazeneca,MAE,validation_top3_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,840,0.5906399495639498,0.0
pgp_broccatelli,AUROC,flaml_automl,matched_budget_automl,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision,5,245,0.877812583311117,0.02197991186789019
pgp_broccatelli,AUROC,global_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,245,0.8531791522260729,0.0035626311849575668
pgp_broccatelli,AUROC,oof_stacking,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,245,0.9162823247134098,0.003536742866819995
pgp_broccatelli,AUROC,per_task_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,245,0.8531791522260729,0.0035626311849575668
pgp_broccatelli,AUROC,trimole_hybrid,submitted_taskwise_system,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived,5,245,0.9383631031724873,0.003985971616905537
pgp_broccatelli,AUROC,uniform_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,245,0.9170287923220475,0.00448213190236821
pgp_broccatelli,AUROC,validation_top2_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,245,0.918921620901093,0.006030205750099278
pgp_broccatelli,AUROC,validation_top3_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,245,0.9170287923220475,0.00448213190236821
ppbr_az,MAE,flaml_automl,matched_budget_automl,3,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision,5,559,9.903719124857071,0.4472998459545108
ppbr_az,MAE,global_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,559,10.913706857752928,0.0
ppbr_az,MAE,oof_stacking,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,559,9.727808918723726,0.05184096550130631
ppbr_az,MAE,per_task_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,559,10.913706857752928,0.0
ppbr_az,MAE,trimole_hybrid,submitted_taskwise_system,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived,5,559,7.3306167101759225,0.09855470408289989
ppbr_az,MAE,uniform_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,559,10.859623091714184,0.0
ppbr_az,MAE,validation_top2_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,559,11.706326236486008,0.0
ppbr_az,MAE,validation_top3_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,559,10.859623091714184,0.0
solubility_aqsoldb,MAE,flaml_automl,matched_budget_automl,3,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision,5,1995,0.9201430033030441,0.06437458502292319
solubility_aqsoldb,MAE,global_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,1995,0.9068635531114875,0.0
solubility_aqsoldb,MAE,oof_stacking,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,1995,0.8175607729249121,0.0010132495519937852
solubility_aqsoldb,MAE,per_task_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,1995,0.9068635531114875,0.0
solubility_aqsoldb,MAE,trimole_hybrid,submitted_taskwise_system,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived,5,1995,0.738442930216593,0.0005100366434665249
solubility_aqsoldb,MAE,uniform_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,1995,0.8405002501636062,0.0
solubility_aqsoldb,MAE,validation_top2_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,1995,0.9535463483841978,0.0
solubility_aqsoldb,MAE,validation_top3_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,1995,0.8405002501636062,0.0
vdss_lombardo,Spearman,flaml_automl,matched_budget_automl,3,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision,5,226,0.39559093763910036,0.0678520474907612
vdss_lombardo,Spearman,global_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,226,0.215611963310039,0.0
vdss_lombardo,Spearman,oof_stacking,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,226,0.1304375337364149,0.04329780152711237
vdss_lombardo,Spearman,per_task_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,226,0.215611963310039,0.0
vdss_lombardo,Spearman,trimole_hybrid,submitted_taskwise_system,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived,5,226,0.6610141888361045,0.004644133569977285
vdss_lombardo,Spearman,uniform_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,226,0.06134349682816696,0.0
vdss_lombardo,Spearman,validation_top2_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,226,0.1438695366951644,0.0
vdss_lombardo,Spearman,validation_top3_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,226,0.06134349682816696,0.0
