variant,available_tasks,missing_tasks,mean_margin,median_margin,mean_delta_vs_full,median_delta_vs_full,mean_abs_delta_vs_full,diagnostic_margin_ge_0_count,full_top1_retention_count,n_tasks_with_5run_mean_std,n_tasks_single_seed_only
full_v36_final,20,0,-0.028755599999999958,-0.022270999999999902,0.0,0.0,0.0,8,8,20,0
no_chemistry_sidecar,20,0,-0.33923041352806443,-0.18913065185779698,-0.3104748135280645,-0.17339592544325405,0.3104748135280645,0,0,20,0
no_ept_or_no_3d,20,0,-0.16266940443377467,-0.08226178726327725,-0.13391380443377468,-0.0431301002007263,0.13391380443377468,0,0,20,0
no_prediction_level_ensemble,20,0,-0.18004608885663886,-0.0886846550356232,-0.15129048885663887,-0.0444204256209546,0.15129048885663887,0,0,20,0
no_seedbag_single_seed,20,0,-0.1739338759700116,-0.0890471041831343,-0.1451782759700116,-0.049894944847100095,0.14601143753518897,0,0,0,20
no_task_adaptive_selection,20,0,-0.17669637529337895,-0.0653918253343422,-0.14794077529337896,-0.04299864824818715,0.14794077529337896,0,0,20,0
