task,variant,metric,direction,score_mean,score_std,top1_ref,direction_normalized_margin,full_margin,delta_margin_vs_full,diagnostic_margin_ge_0,selected_candidate
cyp3a4_veith,no_chemistry_sidecar,AUPRC,max,0.6570096427362475,0.0072884686473624,0.916,-0.2589903572637525,-0.0318789999999999,-0.2271113572637525,False,deep_kpgt_ept_ridge_linear
dili,no_chemistry_sidecar,AUROC,max,0.7661739130434783,0.0279504692887142,0.956,-0.1898260869565217,-0.0473909999999999,-0.1424350869565217,False,deep_kpgt_ridge_linear
half_life_obach,no_chemistry_sidecar,Spearman,max,0.3317560765672304,0.0,0.576,-0.2442439234327695,-0.0846099999999999,-0.1596339234327696,False,deep_ept_ridge_linear
herg,no_chemistry_sidecar,AUROC,max,0.7354344624447717,0.0243344698601934,0.88,-0.1445655375552282,-0.016642,-0.1279235375552282,False,deep_kpgt_ept_ridge_linear
hia_hou,no_chemistry_sidecar,AUROC,max,0.9066666666666666,0.0188670898177037,0.993,-0.0863333333333333,0.00128,-0.0876133333333334,False,deep_kpgt_ept_ridge_linear
ld50_zhu,no_chemistry_sidecar,MAE,min,0.704358148056051,0.0,0.552,-0.1523581480560509,-0.0510709999999999,-0.1012871480560509,False,deep_ept_ridge_linear
lipophilicity_astrazeneca,no_chemistry_sidecar,MAE,min,0.5572363431113107,0.0,0.456,-0.1012363431113106,-0.0168949999999999,-0.0843413431113106,False,deep_kpgt_ept_ridge_linear
pgp_broccatelli,no_chemistry_sidecar,AUROC,max,0.8001999466808852,0.0353137938024883,0.938,-0.1378000533191147,0.000363,-0.1381630533191147,False,deep_ept_ridge_linear
ppbr_az,no_chemistry_sidecar,MAE,min,9.952255878968826,0.0,7.44,-2.512255878968825,0.1093830000000002,-2.621638878968826,False,deep_ept_ridge_linear
solubility_aqsoldb,no_chemistry_sidecar,MAE,min,0.9294352167590724,0.0,0.741,-0.1884352167590723,0.002557,-0.1909922167590724,False,deep_ept_ridge_linear
vdss_lombardo,no_chemistry_sidecar,Spearman,max,0.1447969357523272,0.0,0.713,-0.5682030642476728,-0.0520049999999999,-0.5161980642476728,False,deep_ept_ridge_linear
ames,no_ept_or_no_3d,AUROC,max,0.8552409485206288,0.0018591938264062,0.871,-0.0157590514793711,0.0009449999999999,-0.0167040514793711,False,chem_fp_chemberta_kpgt_xgb
bbb_martins,no_ept_or_no_3d,AUROC,max,0.917956535334584,0.0045760094993455,0.924,-0.006043464665416,0.0037789999999999,-0.009822464665416,False,chem_fp_chemberta_kpgt_xgb
bioavailability_ma,no_ept_or_no_3d,AUROC,max,0.6442966411706019,0.0089407848427836,0.942,-0.297703358829398,-0.2197519999999999,-0.077951358829398,False,chem_fp_chemberta_kpgt_xgb
caco2_wang,no_ept_or_no_3d,MAE,min,0.3264913979323167,0.0084875913789111,0.256,-0.0704913979323167,-0.0276469999999999,-0.0428443979323167,False,chem_fp_chemberta_kpgt_xgb
clearance_hepatocyte_az,no_ept_or_no_3d,Spearman,max,0.4586648251126538,0.0146235841763766,0.536,-0.0773351748873462,0.0160399999999999,-0.0933751748873461,False,chem_fp_chemberta_kpgt_xgb
clearance_microsome_az,no_ept_or_no_3d,Spearman,max,0.4382440419419504,5.235539490165512e-05,0.63,-0.1917559580580495,0.0128139999999999,-0.2045699580580495,False,deep_kpgt_ridge_linear
cyp2c9_substrate_carbonmangels,no_ept_or_no_3d,AUPRC,max,0.4368494179672496,0.018633426367039,0.474,-0.0371505820327503,-0.0306299999999999,-0.0065205820327503,False,chem_fp_chemberta_kpgt_xgb
cyp2c9_veith,no_ept_or_no_3d,AUPRC,max,0.7710219942765797,0.0023590094440746,0.859,-0.0879780057234203,-0.0684139999999999,-0.0195640057234203,False,chem_fp_chemberta_kpgt_xgb
