task,metric,method,candidate_count,score_mean,score_std,n_seeds,selected_candidates
clearance_hepatocyte_az,Spearman,validation_stacking,9,0.3921391845748187,0.020552992293405955,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
clearance_hepatocyte_az,Spearman,validation_top2_average,9,0.2417091098565089,0.006305538029541338,5,chem_fp_chemberta_kpgt_ept_xgb;deep_ept_ridge_linear
clearance_hepatocyte_az,Spearman,validation_top3_average,9,0.350210878084986,0.00427515996252342,5,chem_fp_chemberta_kpgt_ept_xgb;deep_ept_ridge_linear;chem_fp_chemberta_kpgt_xgb
clearance_microsome_az,Spearman,global_single,9,0.5954577077913342,0.010876724540037016,5,chem_fp_chemberta_kpgt_ept_xgb
clearance_microsome_az,Spearman,per_task_single,9,0.43824404194195044,5.235539490164815e-05,5,deep_kpgt_ridge_linear
clearance_microsome_az,Spearman,uniform_candidate_average,9,0.6280718071814794,0.002033287465774934,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
clearance_microsome_az,Spearman,validation_stacking,9,0.45330236084858555,0.00986406577580169,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
clearance_microsome_az,Spearman,validation_top2_average,9,0.45863178872673716,0.00022616209705624278,5,deep_kpgt_ridge_linear;deep_kpgt_ept_ridge_linear
clearance_microsome_az,Spearman,validation_top3_average,9,0.5599884075637653,0.00442842079801174,5,deep_kpgt_ridge_linear;deep_kpgt_ept_ridge_linear;chem_fp_chemberta_kpgt_ept_xgb
cyp2c9_substrate_carbonmangels,AUPRC,global_single,9,0.43175272975925133,0.01893503560414192,5,chem_fp_chemberta_kpgt_ept_xgb
