record_type,task,metric,variant,direction,n_runs,score_mean,score_std,top1_ref,direction_normalized_margin,delta_margin_vs_full,diagnostic_margin_ge_0,selected_candidate,selected_endpoint_config,valid_metric_used_for_selection,valid_score,test_score_source_file,selection_protocol,uses_chemistry_sidecar,uses_ept_or_3d,uses_prediction_level_ensemble,uses_seedbag,missing_reason,task_rank,full_variant,full_rank,n_ranked_variants,normalized_rank_loss,candidate,selection_count,selection_frequency,bootstrap_replicates_valid,selection_entropy_normalized,switch_rate
ablation_rank_loss,bbb_martins,AUROC,no_seedbag_single_seed,max,1.0,0.902439024390244,,0.924,-0.0215609756097561,-0.025339975609756,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUROC,0.9215759383544618,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/bbb_martins/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,True,False,False,,5.0,full_v36_final,1.0,6.0,0.8,,,,,,
ablation_rank_loss,bbb_martins,AUROC,no_task_adaptive_selection,max,5.0,0.9048076923076924,0.0020873298602146,0.924,-0.0191923076923077,-0.0229713076923077,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUROC,0.9165050956997266,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/bbb_martins/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,,3.5,full_v36_final,1.0,6.0,0.5,,,,,,
ablation_rank_loss,bioavailability_ma,AUROC,full_v36_final,max,5.0,0.722248,0.004048,0.942,-0.2197519999999999,0.0,False,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv,"Canonical backup uses chem fixed chemical endpoint: kpgt/chem_core_pair_torsion/extratrees/topk=all; formal seeds=101,202,303,404,505.",,,results_strict/final_22task_score_config_table_v36.csv,Reference row from current v36 formal result/config table.,True,False,False,True,,1.0,full_v36_final,1.0,6.0,0.0,,,,,,
ablation_rank_loss,bioavailability_ma,AUROC,no_chemistry_sidecar,max,5.0,0.545826405054872,0.0499195635831966,0.942,-0.3961735949451279,-0.176421594945128,False,deep_chemberta_ridge_linear,ChemBERTa embedding + target-standardized Ridge/linear head,AUROC,0.6514950166112958,results_strict/ablation_v36_formal/candidate_predictions/deep_chemberta_ridge_linear/bioavailability_ma/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,False,False,False,,6.0,full_v36_final,1.0,6.0,1.0,,,,,,
ablation_rank_loss,bioavailability_ma,AUROC,no_ept_or_no_3d,max,5.0,0.6442966411706019,0.0089407848427836,0.942,-0.297703358829398,-0.077951358829398,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUROC,0.7269102990033223,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/bioavailability_ma/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",True,False,False,False,,4.5,full_v36_final,1.0,6.0,0.7,,,,,,
ablation_rank_loss,bioavailability_ma,AUROC,no_prediction_level_ensemble,max,5.0,0.6442966411706019,0.0089407848427836,0.942,-0.297703358829398,-0.077951358829398,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUROC,0.7269102990033223,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/bioavailability_ma/seed_*/test_predictions.csv,"Per-task valid-only selection of one single candidate family; no rank/logit/zscore/raw prediction blend, no sidecar blend, no foldbag, no seedbag prediction averaging.",True,False,False,False,,4.5,full_v36_final,1.0,6.0,0.7,,,,,,
ablation_rank_loss,bioavailability_ma,AUROC,no_seedbag_single_seed,max,1.0,0.6458264050548721,,0.942,-0.2961735949451278,-0.0764215949451279,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUROC,0.7275747508305648,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/bioavailability_ma/seed_101/test_predictions.csv,Use canonical seed=101 from the valid-selected no_prediction_level_ensemble candidate. No seedbag/5-run averaging; test is final reporting only.,True,False,False,False,,3.0,full_v36_final,1.0,6.0,0.4,,,,,,
ablation_rank_loss,bioavailability_ma,AUROC,no_task_adaptive_selection,max,5.0,0.6468905886265381,0.0021085290966607,0.942,-0.2951094113734618,-0.0753574113734618,False,chem_fp_chemberta_kpgt_ept_xgb,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,AUROC,0.7171650055370986,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_ept_xgb/bioavailability_ma/seed_*/test_predictions.csv,Global fixed family `chem_fp_chemberta_kpgt_ept_xgb` selected by mean official-valid direction-normalized margin across 22 tasks; no per-task endpoint choice; test is final reporting only.,True,True,False,False,,2.0,full_v36_final,1.0,6.0,0.2,,,,,,
ablation_rank_loss,caco2_wang,MAE,full_v36_final,min,5.0,0.283647,0.00229,0.256,-0.0276469999999999,0.0,False,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv,"Canonical backup uses chem fixed chemical endpoint: chemberta_kpgt/chem_core_pair_torsion/extratrees/topk=512; formal seeds=101,202,303,404,505.",,,results_strict/final_22task_score_config_table_v36.csv,Reference row from current v36 formal result/config table.,True,False,False,True,,1.0,full_v36_final,1.0,6.0,0.0,,,,,,
ablation_rank_loss,caco2_wang,MAE,no_chemistry_sidecar,min,5.0,0.3649304504471999,0.0,0.256,-0.1089304504471999,-0.0812834504471999,False,deep_ept_ridge_linear,EPT/3D embedding + target-standardized Ridge/linear head,MAE,0.4752356014450576,results_strict/ablation_v36_formal/candidate_predictions/deep_ept_ridge_linear/caco2_wang/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,True,False,False,,4.0,full_v36_final,1.0,6.0,0.6,,,,,,
