task,variant,delta_margin_vs_full,direction_normalized_margin,selected_candidate
cyp2d6_veith,no_ept_or_no_3d,-0.0230338475350484,-0.0938618475350484,chem_fp_chemberta_kpgt_xgb
cyp3a4_substrate_carbonmangels,no_ept_or_no_3d,-0.0547019837251356,0.0035470162748643,chem_fp_xgb
cyp3a4_veith,no_ept_or_no_3d,-0.0228288073844667,-0.0547078073844667,chem_fp_chemberta_kpgt_xgb
dili,no_ept_or_no_3d,-0.0420003043478262,-0.0893913043478261,chem_fp_xgb
half_life_obach,no_ept_or_no_3d,-0.0895155775649456,-0.1741255775649456,chem_fp_chemberta_kpgt_xgb
herg,no_ept_or_no_3d,-0.0493668365243004,-0.0660088365243004,chem_fp_chemberta_kpgt_xgb
hia_hou,no_ept_or_no_3d,-0.0434158024691359,-0.0421358024691358,chem_fp_chemberta_kpgt_xgb
ld50_zhu,no_ept_or_no_3d,-0.0254745688031342,-0.0765455688031342,chem_fp_chemberta_kpgt_xgb
lipophilicity_astrazeneca,no_ept_or_no_3d,-0.088581431330045,-0.105476431330045,deep_kpgt_ridge_linear
pgp_broccatelli,no_ept_or_no_3d,-0.0073979240202611,-0.0070349240202611,chem_fp_chemberta_kpgt_xgb
ppbr_az,no_ept_or_no_3d,-1.531188945872408,-1.421805945872408,chem_fp_chemberta_kpgt_xgb
solubility_aqsoldb,no_ept_or_no_3d,-0.1281615093254535,-0.1256045093254535,chem_fp_chemberta_kpgt_xgb
vdss_lombardo,no_ept_or_no_3d,-0.2039086660049737,-0.2559136660049736,chem_fp_xgb
ames,no_prediction_level_ensemble,-0.0167040514793711,-0.0157590514793711,chem_fp_chemberta_kpgt_xgb
bbb_martins,no_prediction_level_ensemble,-0.0229713076923077,-0.0191923076923077,chem_fp_chemberta_kpgt_ept_xgb
bioavailability_ma,no_prediction_level_ensemble,-0.077951358829398,-0.297703358829398,chem_fp_chemberta_kpgt_xgb
caco2_wang,no_prediction_level_ensemble,-0.0816611944549426,-0.1093081944549426,chem_fp_chemberta_kpgt_ept_xgb
clearance_hepatocyte_az,no_prediction_level_ensemble,-0.3517204712229832,-0.3356804712229833,chem_fp_chemberta_kpgt_ept_xgb
clearance_microsome_az,no_prediction_level_ensemble,-0.2045699580580495,-0.1917559580580495,deep_kpgt_ridge_linear
cyp2c9_substrate_carbonmangels,no_prediction_level_ensemble,-0.0116172702407486,-0.0422472702407486,chem_fp_chemberta_kpgt_ept_xgb
cyp2c9_veith,no_prediction_level_ensemble,-0.0195640057234203,-0.0879780057234203,chem_fp_chemberta_kpgt_xgb
cyp2d6_substrate_carbonmangels,no_prediction_level_ensemble,-0.0454250487727733,-0.0338940487727733,chem_fp_chemberta_kpgt_xgb
cyp2d6_veith,no_prediction_level_ensemble,-0.0230338475350484,-0.0938618475350484,chem_fp_chemberta_kpgt_xgb
cyp3a4_substrate_carbonmangels,no_prediction_level_ensemble,-0.0547019837251356,0.0035470162748643,chem_fp_xgb
cyp3a4_veith,no_prediction_level_ensemble,-0.0228288073844667,-0.0547078073844667,chem_fp_chemberta_kpgt_xgb
dili,no_prediction_level_ensemble,-0.0420003043478262,-0.0893913043478261,chem_fp_xgb
