task,category,metric,direction,rank_num,top1_flag,model,model_short,source,leaderboard_rank,score_mean,score_std,is_trimole,endpoint_config
TDC.PPBR,Distribution,MAE,lower_better,1,1,Trimole-Hybrid,Trimole,v36 final formal 5-run,1,7.330617,0.098555,True,KPGT seedbag + FP blend
TDC.VD,Distribution,Spearman,higher_better,3,0,MapLight + GNN,MapLight+GNN,TDC leaderboard,1,0.713,0.007,False,
TDC.VD,Distribution,Spearman,higher_better,3,0,MapLight,MapLight,TDC leaderboard,2,0.707,0.009,False,
TDC.VD,Distribution,Spearman,higher_better,3,0,CFA,CFA,TDC leaderboard,3,0.628,0.023,False,
TDC.VD,Distribution,Spearman,higher_better,3,0,Basic ML,Basic ML,TDC leaderboard,4,0.627,0.01,False,
TDC.VD,Distribution,Spearman,higher_better,3,0,Euclia ML model,Euclia ML model,TDC leaderboard,5,0.609,0.014,False,
TDC.VD,Distribution,Spearman,higher_better,3,0,Trimole-Hybrid,Trimole,v36 final formal 5-run,3,0.660995,0.004668,True,KPGT+EPT rank blend
TDC.CYP2C9-I,Metabolism,AUPRC,higher_better,8,0,MapLight + GNN,MapLight+GNN,TDC leaderboard,1,0.859,0.001,False,
TDC.CYP2C9-I,Metabolism,AUPRC,higher_better,8,0,ContextPred,ContextPred,TDC leaderboard,2,0.839,0.003,False,
TDC.CYP2C9-I,Metabolism,AUPRC,higher_better,8,0,AttrMasking,AttrMasking,TDC leaderboard,3,0.829,0.003,False,
TDC.CYP2C9-I,Metabolism,AUPRC,higher_better,8,0,MiniMol,MiniMol,TDC leaderboard,4,0.823,0.006,False,
TDC.CYP2C9-I,Metabolism,AUPRC,higher_better,8,0,ADMETrix,ADMETrix,TDC leaderboard,5,0.789,0.004,False,
TDC.CYP2C9-I,Metabolism,AUPRC,higher_better,8,0,Trimole-Hybrid,Trimole,v36 final formal 5-run,8,0.790586,0.002608,True,KPGT+EPT chem XGB
TDC.CYP2C9-S,Metabolism,AUPRC,higher_better,2,0,MiniMol,MiniMol,TDC leaderboard,1,0.474,0.025,False,
TDC.CYP2C9-S,Metabolism,AUPRC,higher_better,2,0,ZairaChem,ZairaChem,TDC leaderboard,2,0.441,0.033,False,
TDC.CYP2C9-S,Metabolism,AUPRC,higher_better,2,0,MapLight + GNN,MapLight+GNN,TDC leaderboard,3,0.437,0.008,False,
TDC.CYP2C9-S,Metabolism,AUPRC,higher_better,2,0,Random Forest,Random Forest,TDC leaderboard,4,0.437,0.022,False,
TDC.CYP2C9-S,Metabolism,AUPRC,higher_better,2,0,SimGCN,SimGCN,TDC leaderboard,5,0.433,0.017,False,
TDC.CYP2C9-S,Metabolism,AUPRC,higher_better,2,0,Trimole-Hybrid,Trimole,v36 final formal 5-run,2,0.44337,0.023358,True,XL+KPGT chem XGB
TDC.CYP2D6-I,Metabolism,AUPRC,higher_better,4,0,MapLight + GNN,MapLight+GNN,TDC leaderboard,1,0.79,0.001,False,
TDC.CYP2D6-I,Metabolism,AUPRC,higher_better,4,0,ContextPred,ContextPred,TDC leaderboard,2,0.739,0.005,False,
TDC.CYP2D6-I,Metabolism,AUPRC,higher_better,4,0,MapLight,MapLight,TDC leaderboard,3,0.723,0.003,False,
TDC.CYP2D6-I,Metabolism,AUPRC,higher_better,4,0,AttrMasking,AttrMasking,TDC leaderboard,4,0.721,0.009,False,
TDC.CYP2D6-I,Metabolism,AUPRC,higher_better,4,0,MiniMol,MiniMol,TDC leaderboard,5,0.719,0.004,False,
TDC.CYP2D6-I,Metabolism,AUPRC,higher_better,4,0,Trimole-Hybrid,Trimole,v36 final formal 5-run,4,0.719172,0.005514,True,K+E seedbag + sidecar blend
TDC.CYP2D6-S,Metabolism,AUPRC,higher_better,1,1,ContextPred,ContextPred,TDC leaderboard,1,0.736,0.024,False,
TDC.CYP2D6-S,Metabolism,AUPRC,higher_better,1,1,DeepMol (AutoML),DeepMol,TDC leaderboard,2,0.731,0.037,False,
TDC.CYP2D6-S,Metabolism,AUPRC,higher_better,1,1,MapLight + GNN,MapLight+GNN,TDC leaderboard,3,0.72,0.002,False,
TDC.CYP2D6-S,Metabolism,AUPRC,higher_better,1,1,MapLight,MapLight,TDC leaderboard,4,0.713,0.009,False,
TDC.CYP2D6-S,Metabolism,AUPRC,higher_better,1,1,CFA,CFA,TDC leaderboard,5,0.704,0.015,False,
TDC.CYP2D6-S,Metabolism,AUPRC,higher_better,1,1,Trimole-Hybrid,Trimole,v36 final formal 5-run,1,0.747531,0.00961,True,AP seedbag + XL/descriptor blend
TDC.CYP3A4-I,Metabolism,AUPRC,higher_better,4,0,MapLight + GNN,MapLight+GNN,TDC leaderboard,1,0.916,0.0,False,
TDC.CYP3A4-I,Metabolism,AUPRC,higher_better,4,0,ContextPred,ContextPred,TDC leaderboard,2,0.904,0.002,False,
TDC.CYP3A4-I,Metabolism,AUPRC,higher_better,4,0,AttrMasking,AttrMasking,TDC leaderboard,3,0.902,0.002,False,
TDC.CYP3A4-I,Metabolism,AUPRC,higher_better,4,0,ADMETrix,ADMETrix,TDC leaderboard,4,0.884,0.001,False,
TDC.CYP3A4-I,Metabolism,AUPRC,higher_better,4,0,MapLight,MapLight,TDC leaderboard,5,0.881,0.001,False,
TDC.CYP3A4-I,Metabolism,AUPRC,higher_better,4,0,Trimole-Hybrid,Trimole,v36 final formal 5-run,4,0.884121,0.003206,True,XL/K+E + tabular blend
TDC.CYP3A4-S,Metabolism,AUROC,higher_better,1,1,CFA,CFA,TDC leaderboard,1,0.667,0.019,False,
TDC.CYP3A4-S,Metabolism,AUROC,higher_better,1,1,MiniMol,MiniMol,TDC leaderboard,2,0.663,0.008,False,
TDC.CYP3A4-S,Metabolism,AUROC,higher_better,1,1,CNN (DeepPurpose),CNN (DeepPurpose),TDC leaderboard,3,0.662,0.031,False,
TDC.CYP3A4-S,Metabolism,AUROC,higher_better,1,1,DeepMol (AutoML),DeepMol,TDC leaderboard,4,0.655,0.003,False,
TDC.CYP3A4-S,Metabolism,AUROC,higher_better,1,1,MapLight,MapLight,TDC leaderboard,5,0.65,0.006,False,
TDC.CYP3A4-S,Metabolism,AUROC,higher_better,1,1,Trimole-Hybrid,Trimole,v36 final formal 5-run,1,0.725249,0.00476,True,Family-transfer XGB
TDC.CL-Hepa,Excretion,Spearman,higher_better,1,1,CFA,CFA,TDC leaderboard,1,0.536,0.02,False,
TDC.CL-Hepa,Excretion,Spearman,higher_better,1,1,MapLight + GNN,MapLight+GNN,TDC leaderboard,2,0.498,0.009,False,
TDC.CL-Hepa,Excretion,Spearman,higher_better,1,1,MapLight,MapLight,TDC leaderboard,3,0.466,0.012,False,
TDC.CL-Hepa,Excretion,Spearman,higher_better,1,1,ADMETrix,ADMETrix,TDC leaderboard,4,0.447,0.028,False,
TDC.CL-Hepa,Excretion,Spearman,higher_better,1,1,MiniMol,MiniMol,TDC leaderboard,5,0.446,0.029,False,
TDC.CL-Hepa,Excretion,Spearman,higher_better,1,1,Trimole-Hybrid,Trimole,v36 final formal 5-run,1,0.55204,0.00965,True,Family-transfer XGB
TDC.CL-Micro,Excretion,Spearman,higher_better,1,1,MapLight + GNN,MapLight+GNN,TDC leaderboard,1,0.63,0.01,False,
TDC.CL-Micro,Excretion,Spearman,higher_better,1,1,MiniMol,MiniMol,TDC leaderboard,2,0.628,0.005,False,
TDC.CL-Micro,Excretion,Spearman,higher_better,1,1,MapLight,MapLight,TDC leaderboard,3,0.626,0.008,False,
TDC.CL-Micro,Excretion,Spearman,higher_better,1,1,CFA,CFA,TDC leaderboard,4,0.625,0.012,False,
TDC.CL-Micro,Excretion,Spearman,higher_better,1,1,RFStacker,RFStacker,TDC leaderboard,5,0.625,0.002,False,
TDC.CL-Micro,Excretion,Spearman,higher_better,1,1,Trimole-Hybrid,Trimole,v36 final formal 5-run,1,0.642814,0.005773,True,KPGT+EPT 5×5 seedbag
TDC.Half_Life,Excretion,Spearman,higher_better,7,0,CFA,CFA,TDC leaderboard,1,0.576,0.025,False,
TDC.Half_Life,Excretion,Spearman,higher_better,7,0,MapLight,MapLight,TDC leaderboard,2,0.562,0.008,False,
TDC.Half_Life,Excretion,Spearman,higher_better,7,0,MapLight + GNN,MapLight+GNN,TDC leaderboard,3,0.557,0.034,False,
TDC.Half_Life,Excretion,Spearman,higher_better,7,0,Euclia ML model,Euclia ML model,TDC leaderboard,4,0.547,0.032,False,
TDC.Half_Life,Excretion,Spearman,higher_better,7,0,"Voting Regressor (KNN, SVM)","Voting Regressor (KNN, SVM)",TDC leaderboard,5,0.544,0.034,False,
TDC.Half_Life,Excretion,Spearman,higher_better,7,0,Trimole-Hybrid,Trimole,v36 final formal 5-run,7,0.49139,0.009785,True,C+K descriptor blend
TDC.AMES,Toxicity,AUROC,higher_better,1,1,ZairaChem,ZairaChem,TDC leaderboard,1,0.871,0.002,False,
TDC.AMES,Toxicity,AUROC,higher_better,1,1,ADMETrix,ADMETrix,TDC leaderboard,2,0.87,0.006,False,
TDC.AMES,Toxicity,AUROC,higher_better,1,1,MapLight + GNN,MapLight+GNN,TDC leaderboard,3,0.869,0.002,False,
