task,variant,score_mean,score_std,top1_ref,direction_normalized_margin,delta_margin_vs_full,diagnostic_margin_ge_0,selected_candidate,selected_endpoint_config,test_score_source_file,selection_protocol
clearance_hepatocyte_az,full_v36_final,0.273710115841609,0.020235030266734677,0.536,-0.262289884158391,0.0,False,leakage_safe_fp_chemberta_kpgt_ept,Leakage-safe family-transfer refit with target-holdout identity filtering,results_strict/revision_20260917_clearance_hepatocyte_leakage_safe_v2/final_selected_test_summary.csv,Validation-only selection followed by leakage-safe train+valid refit and test-only scoring.
cyp3a4_substrate_carbonmangels,full_v36_final,0.655628,0.007590,0.667,-0.011372,0.0,False,leakage_safe_fp,Leakage-safe family-transfer refit with target-holdout identity filtering,results_strict/revision_20260917_cyp3a4_substrate_leakage_safe_v2/final_selected_test_summary.csv,Validation-only selection followed by leakage-safe train+valid refit and test-only scoring.
